-----------------------------
1521233805.234,starting test
1521233805.235,5F:E5:3B:3A:53:DF:6C,-61
1521233805.253,E5:3B:3A:53:DF:6C,-62
1521233805.257,0B:08:73:E6:B1:67,-60
1521233805.276,C1:96:24:5B:EB:97,-60
1521233805.280,C1:96:24:5B:EB:97,-60
1521233805.282,F1:4E:55:EA:ED:A4,-60
1521233805.284,F1:4E:55:EA:ED:A4,-60
1521233805.285,E9:0D:4A:6D:31:59,-63
1521233805.288,E9:0D:4A:6D:31:59,-64
1521233805.506,C8:2F:80:DA:26:94,-67
1521233805.506,C8:2F:80:DA:26:94,-67
1521233805.507,D9:86:6F:AF:E8:90,-61
1521233805.507,D9:86:6F:AF:E8:90,-60
1521233805.514,E8:FA:0D:3C:01:82,-64
1521233805.522,E8:FA:0D:3C:01:82,-64
1521233805.524,FD:99:D9:69:5D:BC,-64
1521233805.528,FD:99:D9:69:5D:BC,-64
1521233805.534,5F:17:B5:B3:51:A4,-103
1521233805.539,EC:8F:47:27:6C:DE,-61
1521233805.548,EC:8F:47:27:6C:DE,-61
1521233805.551,98:9E:63:42:70:FD,-101
1521233805.559,61:B8:47:F5:59:8C,-103
1521233805.561,61:B8:47:F5:59:8C,-102
1521233805.563,DC:94:C8:A9:D0:B6,-65
1521233805.566,DC:94:C8:A9:D0:B6,-65
1521233805.579,0B:08:73:E6:B1:67,-65
1521233806.104,78:4F:43:78:44:5D,-102
1521233806.106,C1:96:24:5B:EB:97,-60
1521233806.107,C1:96:24:5B:EB:97,-60
1521233806.107,0B:08:73:E6:B1:67,-59
1521233806.108,C8:2F:80:DA:26:94,-66
1521233806.114,C8:2F:80:DA:26:94,-66
1521233806.115,D9:86:6F:AF:E8:90,-65
1521233806.117,D9:86:6F:AF:E8:90,-65
1521233806.135,FD:99:D9:69:5D:BC,-64
1521233806.140,FD:99:D9:69:5D:BC,-64
1521233806.143,4C:7F:F4:3A:E6:B1,-103
1521233806.155,EC:8F:47:27:6C:DE,-63
1521233806.173,EC:8F:47:27:6C:DE,-63
1521233806.177,DC:94:C8:A9:D0:B6,-63
1521233806.181,DC:94:C8:A9:D0:B6,-63
1521233806.420,CB:3C:59:5F:87:FB,-59
1521233806.420,CB:3C:59:5F:87:FB,-59
1521233806.421,E8:FA:0D:3C:01:82,-60
1521233806.421,E8:FA:0D:3C:01:82,-60
