-----------------------------
1521232630.729,starting test
1521232632.399,DC:94:C8:A9:D0:B6,-56
1521232632.401,DC:94:C8:A9:D0:B6,-56
1521232632.910,62:38:F8:A7:CC:31,-78
1521232632.930,62:38:F8:A7:CC:31,-78
1521232632.932,F1:4E:55:EA:ED:A4,-55
1521232632.935,F1:4E:55:EA:ED:A4,-55
1521232632.939,98:9E:63:42:70:FD,-99
1521232632.942,62:38:F8:A7:CC:31,-78
1521232632.962,62:38:F8:A7:CC:31,-78
1521232632.963,D9:86:6F:AF:E8:90,-53
1521232632.964,D9:86:6F:AF:E8:90,-53
1521232632.970,61:B8:47:F5:59:8C,-100
1521232632.976,98:9E:63:42:70:FD,-98
1521232632.979,26:94:08:39:24:90,-68
1521232632.979,C8:2F:80:DA:26:94,-53
1521232632.983,C8:2F:80:DA:26:94,-53
1521232632.984,62:38:F8:A7:CC:31,-78
1521232632.994,62:38:F8:A7:CC:31,-78
1521232632.996,FD:99:D9:69:5D:BC,-53
1521232632.999,FD:99:D9:69:5D:BC,-53
1521232633.001,EC:8F:47:27:6C:DE,-53
1521232633.003,EC:8F:47:27:6C:DE,-53
1521232633.005,E8:FA:0D:3C:01:82,-53
1521232633.008,E8:FA:0D:3C:01:82,-53
1521232633.011,61:B8:47:F5:59:8C,-98
1521232633.014,98:9E:63:42:70:FD,-101
1521232633.230,DC:94:C8:A9:D0:B6,-58
1521232633.231,DC:94:C8:A9:D0:B6,-58
1521232633.231,7F:4B:65:4E:9A:05,-102
1521232633.256,62:38:F8:A7:CC:31,-86
1521232633.265,62:38:F8:A7:CC:31,-85
1521232633.266,CB:3C:59:5F:87:FB,-54
1521232633.268,CB:3C:59:5F:87:FB,-54
1521232633.277,E9:0D:4A:6D:31:59,-56
1521232633.293,E9:0D:4A:6D:31:59,-56
1521232633.294,62:38:F8:A7:CC:31,-86
1521232633.300,26:94:08:39:24:90,-56
1521232633.302,C2:57:36:E6:71:6E,-58
1521232633.304,C2:57:36:E6:71:6E,-58
1521232633.306,70:DD:32:29:B0:75,-101
1521232633.525,62:38:F8:A7:CC:31,-88
1521232633.525,62:38:F8:A7:CC:31,-89
1521232633.526,C1:96:24:5B:EB:97,-50
1521232633.526,C1:96:24:5B:EB:97,-50
1521232633.527,75:33:23:D6:E1:5E,-98
1521232633.533,3C:15:C2:C7:F7:27,-99
1521232633.541,62:38:F8:A7:CC:31,-87
1521232633.547,62:38:F8:A7:CC:31,-88
1521232633.548,F1:4E:55:EA:ED:A4,-53
1521232633.567,62:38:F8:A7:CC:31,-88
1521232633.571,D9:86:6F:AF:E8:90,-53
1521232633.584,D9:86:6F:AF:E8:90,-53
1521232633.586,C8:2F:80:DA:26:94,-54
1521232633.590,C8:2F:80:DA:26:94,-54
1521232633.592,55:24:CF:EA:82:DD,-93
1521232633.600,55:24:CF:EA:82:DD,-93
1521232633.604,62:38:F8:A7:CC:31,-88
1521232633.807,FD:99:D9:69:5D:BC,-53
1521232633.816,EC:8F:47:27:6C:DE,-53
1521232633.818,EC:8F:47:27:6C:DE,-53
1521232633.820,26:94:08:39:24:90,-64
1521232633.823,62:38:F8:A7:CC:31,-86
1521232633.857,62:38:F8:A7:CC:31,-91
1521232633.874,CB:3C:59:5F:87:FB,-50
1521232633.897,CB:3C:59:5F:87:FB,-50
1521232633.901,75:33:23:D6:E1:5E,-95
1521232633.907,E9:0D:4A:6D:31:59,-53
1521232633.908,E9:0D:4A:6D:31:59,-53
1521232633.909,3C:15:C2:C7:F7:27,-95
1521232633.917,3C:15:C2:C7:F7:27,-94
1521232634.438,F8:77:B8:B9:2D:74,-101
1521232634.438,E8:FA:0D:3C:01:82,-52
1521232634.439,E8:FA:0D:3C:01:82,-52
1521232634.442,3C:15:C2:C7:F7:27,-103
1521232634.448,FD:99:D9:69:5D:BC,-55
1521232634.468,FD:99:D9:69:5D:BC,-55
1521232634.470,EC:8F:47:27:6C:DE,-54
1521232634.472,EC:8F:47:27:6C:DE,-53
1521232634.484,CB:3C:59:5F:87:FB,-54
1521232634.500,CB:3C:59:5F:87:FB,-54
1521232634.741,C2:57:36:E6:71:6E,-56
1521232634.742,C2:57:36:E6:71:6E,-57
1521232634.743,4C:7F:F4:3A:E6:B1,-100
1521232634.754,26:94:08:39:24:90,-65
1521232634.773,E9:0D:4A:6D:31:59,-54
1521232634.777,E9:0D:4A:6D:31:59,-54
1521232634.779,F1:4E:55:EA:ED:A4,-53
1521232634.785,F1:4E:55:EA:ED:A4,-53
1521232634.787,C1:96:24:5B:EB:97,-50
1521232634.789,C1:96:24:5B:EB:97,-50
1521232634.791,E5:3B:3A:53:DF:6C,-52
1521232634.803,E5:3B:3A:53:DF:6C,-52
1521232634.804,D9:86:6F:AF:E8:90,-53
1521232634.807,D9:86:6F:AF:E8:90,-53
1521232635.008,D9:86:6F:AF:E8:90,-53
1521232635.017,D9:86:6F:AF:E8:90,-53
1521232635.021,C8:2F:80:DA:26:94,-52
1521232635.023,C8:2F:80:DA:26:94,-52
1521232635.032,61:B8:47:F5:59:8C,-100
1521232635.038,98:9E:63:42:70:FD,-100
1521232635.042,E8:FA:0D:3C:01:82,-53
1521232635.056,E8:FA:0D:3C:01:82,-53
1521232635.057,55:24:CF:EA:82:DD,-94
1521232635.065,DC:94:C8:A9:D0:B6,-53
1521232635.066,DC:94:C8:A9:D0:B6,-53
