-----------------------------
1521233090.699,starting test
1521233090.699,C1:96:24:5B:EB:97,-54
1521233090.700,C1:96:24:5B:EB:97,-54
1521233090.731,5F:17:B5:B3:51:A4,-103
1521233090.734,E8:FA:0D:3C:01:82,-55
1521233090.738,E8:FA:0D:3C:01:82,-55
1521233090.739,78:4F:43:78:44:5D,-103
1521233090.742,C8:2F:80:DA:26:94,-59
1521233090.747,C8:2F:80:DA:26:94,-59
1521233090.750,50:33:C6:12:8F:54,-95
1521233090.754,FD:99:D9:69:5D:BC,-57
1521233090.760,FD:99:D9:69:5D:BC,-57
1521233090.764,DC:94:C8:A9:D0:B6,-63
1521233090.765,DC:94:C8:A9:D0:B6,-63
1521233090.767,D9:86:6F:AF:E8:90,-55
1521233090.771,D9:86:6F:AF:E8:90,-55
1521233090.772,78:4F:43:78:44:5D,-103
1521233090.991,EC:8F:47:27:6C:DE,-58
1521233091.013,EC:8F:47:27:6C:DE,-58
1521233091.015,CB:3C:59:5F:87:FB,-55
1521233091.017,CB:3C:59:5F:87:FB,-55
1521233091.023,C2:57:36:E6:71:6E,-60
1521233091.055,C2:57:36:E6:71:6E,-60
1521233091.058,68:64:4B:39:4B:0F,-100
1521233091.073,E5:3B:3A:53:DF:6C,-54
1521233091.074,E5:3B:3A:53:DF:6C,-53
1521233091.075,0B:08:73:E6:B1:67,-63
1521233091.295,E5:3B:3A:53:DF:6C,-60
1521233091.295,E5:3B:3A:53:DF:6C,-60
1521233091.296,F1:4E:55:EA:ED:A4,-59
1521233091.296,F1:4E:55:EA:ED:A4,-59
1521233091.296,0B:08:73:E6:B1:67,-56
1521233091.303,E9:0D:4A:6D:31:59,-58
1521233091.316,E9:0D:4A:6D:31:59,-58
1521233091.318,C1:96:24:5B:EB:97,-55
1521233091.319,C1:96:24:5B:EB:97,-55
1521233091.329,98:9E:63:42:70:FD,-103
1521233091.346,E8:FA:0D:3C:01:82,-57
1521233091.362,E8:FA:0D:3C:01:82,-57
1521233091.367,FD:99:D9:69:5D:BC,-58
1521233091.368,FD:99:D9:69:5D:BC,-58
1521233091.370,C8:2F:80:DA:26:94,-58
1521233091.373,C8:2F:80:DA:26:94,-58
1521233091.377,DC:94:C8:A9:D0:B6,-61
1521233091.378,DC:94:C8:A9:D0:B6,-61
1521233091.577,C8:2F:80:DA:26:94,-59
1521233091.583,C8:2F:80:DA:26:94,-59
1521233091.585,DC:94:C8:A9:D0:B6,-63
1521233091.587,DC:94:C8:A9:D0:B6,-62
1521233091.591,D9:86:6F:AF:E8:90,-55
1521233091.591,D9:86:6F:AF:E8:90,-55
1521233091.595,0B:08:73:E6:B1:67,-61
1521233091.602,EC:8F:47:27:6C:DE,-56
1521233091.622,EC:8F:47:27:6C:DE,-57
1521233091.628,78:4F:43:78:44:5D,-103
1521233091.630,CB:3C:59:5F:87:FB,-56
1521233091.632,CB:3C:59:5F:87:FB,-56
1521233091.634,E8:FA:0D:3C:01:82,-55
1521233091.635,E8:FA:0D:3C:01:82,-55
1521233091.652,78:4F:43:78:44:5D,-102
1521233091.669,50:33:C6:12:8F:54,-94
1521233091.889,61:B8:47:F5:59:8C,-101
1521233091.890,C2:57:36:E6:71:6E,-60
1521233091.893,C2:57:36:E6:71:6E,-60
1521233091.895,98:9E:63:42:70:FD,-100
1521233091.897,98:9E:63:42:70:FD,-100
1521233091.899,E5:3B:3A:53:DF:6C,-54
1521233091.907,E5:3B:3A:53:DF:6C,-53
1521233091.909,F1:4E:55:EA:ED:A4,-58
1521233091.910,F1:4E:55:EA:ED:A4,-57
1521233091.913,0B:08:73:E6:B1:67,-68
1521233091.920,E9:0D:4A:6D:31:59,-58
1521233091.930,E9:0D:4A:6D:31:59,-58
1521233091.931,C1:96:24:5B:EB:97,-54
1521233091.932,C1:96:24:5B:EB:97,-54
1521233092.180,FD:99:D9:69:5D:BC,-58
1521233092.195,FD:99:D9:69:5D:BC,-58
1521233092.197,DC:94:C8:A9:D0:B6,-61
1521233092.199,DC:94:C8:A9:D0:B6,-61
1521233092.213,EC:8F:47:27:6C:DE,-58
1521233092.222,EC:8F:47:27:6C:DE,-58
1521233092.223,0B:08:73:E6:B1:67,-55
