-----------------------------
1521234346.088,starting test
1521234346.089,76:3F:BE:C1:44:D9,-82
1521234346.099,CB:3C:59:5F:87:FB,-66
1521234346.101,CB:3C:59:5F:87:FB,-67
1521234346.102,DC:94:C8:A9:D0:B6,-70
1521234346.103,DC:94:C8:A9:D0:B6,-70
1521234346.113,E8:FA:0D:3C:01:82,-61
1521234346.135,E8:FA:0D:3C:01:82,-61
1521234346.137,E5:3B:3A:53:DF:6C,-80
1521234346.139,E5:3B:3A:53:DF:6C,-81
1521234346.349,E5:3B:3A:53:DF:6C,-65
1521234346.350,E5:3B:3A:53:DF:6C,-65
1521234346.353,1D:35:DA:3F:51:F6,-63
1521234346.369,C2:57:36:E6:71:6E,-71
1521234346.394,C2:57:36:E6:71:6E,-71
1521234346.395,F1:4E:55:EA:ED:A4,-70
1521234346.399,F1:4E:55:EA:ED:A4,-70
1521234346.402,C1:96:24:5B:EB:97,-67
1521234346.417,C1:96:24:5B:EB:97,-67
1521234346.418,E9:0D:4A:6D:31:59,-68
1521234346.419,E9:0D:4A:6D:31:59,-68
1521234346.419,D9:86:6F:AF:E8:90,-75
1521234346.436,D9:86:6F:AF:E8:90,-75
1521234346.438,FD:99:D9:69:5D:BC,-72
1521234346.440,FD:99:D9:69:5D:BC,-71
1521234346.441,EC:8F:47:27:6C:DE,-70
1521234346.652,EC:8F:47:27:6C:DE,-66
1521234346.668,EC:8F:47:27:6C:DE,-66
1521234346.672,1D:35:DA:3F:51:F6,-59
1521234346.673,61:B8:47:F5:59:8C,-103
1521234346.675,C8:2F:80:DA:26:94,-68
1521234346.690,C8:2F:80:DA:26:94,-68
1521234346.692,D9:86:6F:AF:E8:90,-66
1521234346.696,D9:86:6F:AF:E8:90,-66
1521234346.698,98:9E:63:42:70:FD,-101
1521234346.702,F8:77:B8:B9:2D:74,-103
1521234346.711,CB:3C:59:5F:87:FB,-65
1521234346.713,CB:3C:59:5F:87:FB,-65
1521234346.719,DC:94:C8:A9:D0:B6,-63
1521234346.719,DC:94:C8:A9:D0:B6,-63
1521234346.729,E8:FA:0D:3C:01:82,-63
1521234346.737,E8:FA:0D:3C:01:82,-63
1521234346.949,78:4F:43:78:44:5D,-101
1521234346.952,E5:3B:3A:53:DF:6C,-74
1521234346.979,E5:3B:3A:53:DF:6C,-76
1521234346.980,1D:35:DA:3F:51:F6,-63
1521234346.985,C2:57:36:E6:71:6E,-69
1521234347.009,C2:57:36:E6:71:6E,-69
1521234347.014,76:3F:BE:C1:44:D9,-86
1521234347.019,76:3F:BE:C1:44:D9,-86
1521234347.021,F8:77:B8:B9:2D:74,-101
1521234347.023,F1:4E:55:EA:ED:A4,-63
1521234347.025,F1:4E:55:EA:ED:A4,-63
1521234347.027,C1:96:24:5B:EB:97,-63
1521234347.029,C1:96:24:5B:EB:97,-63
1521234347.240,3C:15:C2:C7:F7:27,-96
1521234347.246,3C:15:C2:C7:F7:27,-98
1521234347.248,98:9E:63:42:70:FD,-99
1521234347.253,98:9E:63:42:70:FD,-103
1521234347.256,E9:0D:4A:6D:31:59,-68
1521234347.259,E9:0D:4A:6D:31:59,-68
1521234347.262,FD:99:D9:69:5D:BC,-72
1521234347.265,FD:99:D9:69:5D:BC,-72
1521234347.269,EC:8F:47:27:6C:DE,-70
1521234347.284,EC:8F:47:27:6C:DE,-71
1521234347.289,C8:2F:80:DA:26:94,-68
1521234347.291,C8:2F:80:DA:26:94,-68
1521234347.294,1D:35:DA:3F:51:F6,-67
1521234347.302,7E:2E:AA:0F:02:3A,-95
1521234347.317,DC:94:C8:A9:D0:B6,-64
1521234347.338,DC:94:C8:A9:D0:B6,-64
1521234347.546,E8:FA:0D:3C:01:82,-63
1521234347.563,E8:FA:0D:3C:01:82,-63
1521234347.565,E5:3B:3A:53:DF:6C,-65
1521234347.567,E5:3B:3A:53:DF:6C,-65
1521234347.569,76:3F:BE:C1:44:D9,-85
1521234347.570,76:3F:BE:C1:44:D9,-86
1521234347.575,7E:2E:AA:0F:02:3A,-101
1521234347.591,4B:F7:FA:A9:DF:E3,-101
1521234347.597,C2:57:36:E6:71:6E,-69
1521234347.603,C2:57:36:E6:71:6E,-69
1521234347.607,1D:35:DA:3F:51:F6,-57
1521234347.611,98:9E:63:42:70:FD,-103
1521234347.617,F8:77:B8:B9:2D:74,-103
1521234347.620,46:B4:1F:46:95:66,-88
1521234347.637,46:B4:1F:46:95:66,-88
1521234347.638,F1:4E:55:EA:ED:A4,-65
1521234347.640,F1:4E:55:EA:ED:A4,-65
1521234347.851,C1:96:24:5B:EB:97,-62
1521234347.864,C1:96:24:5B:EB:97,-62
1521234347.869,FD:99:D9:69:5D:BC,-65
1521234347.870,FD:99:D9:69:5D:BC,-65
1521234347.872,E9:0D:4A:6D:31:59,-68
1521234347.874,E9:0D:4A:6D:31:59,-68
1521234347.877,EC:8F:47:27:6C:DE,-63
1521234347.881,EC:8F:47:27:6C:DE,-63
1521234347.893,C8:2F:80:DA:26:94,-65
1521234347.895,C8:2F:80:DA:26:94,-65
1521234347.897,46:B4:1F:46:95:66,-82
1521234347.899,46:B4:1F:46:95:66,-83
1521234347.903,F1:4E:55:EA:ED:A4,-63
1521234347.916,F1:4E:55:EA:ED:A4,-63
1521234347.918,D9:86:6F:AF:E8:90,-68
1521234347.920,D9:86:6F:AF:E8:90,-68
1521234347.928,76:3F:BE:C1:44:D9,-81
1521234347.930,76:3F:BE:C1:44:D9,-81
1521234347.935,CB:3C:59:5F:87:FB,-66
1521234347.937,CB:3C:59:5F:87:FB,-66
1521234348.139,4B:F7:FA:A9:DF:E3,-88
1521234348.148,4B:F7:FA:A9:DF:E3,-89
1521234348.149,75:33:23:D6:E1:5E,-98
1521234348.158,E8:FA:0D:3C:01:82,-63
1521234348.163,E8:FA:0D:3C:01:82,-63
1521234348.165,46:B4:1F:46:95:66,-83
1521234348.170,46:B4:1F:46:95:66,-83
1521234348.175,E5:3B:3A:53:DF:6C,-65
1521234348.191,E5:3B:3A:53:DF:6C,-64
1521234348.192,DC:94:C8:A9:D0:B6,-64
1521234348.195,DC:94:C8:A9:D0:B6,-63
1521234348.211,C2:57:36:E6:71:6E,-71
1521234348.228,C2:57:36:E6:71:6E,-71
1521234348.230,1D:35:DA:3F:51:F6,-70
1521234348.444,1D:35:DA:3F:51:F6,-55
1521234348.451,C1:96:24:5B:EB:97,-60
1521234348.474,C1:96:24:5B:EB:97,-60
1521234348.478,FD:99:D9:69:5D:BC,-68
1521234348.480,FD:99:D9:69:5D:BC,-68
1521234348.483,76:3F:BE:C1:44:D9,-84
1521234348.486,E9:0D:4A:6D:31:59,-63
1521234348.494,E9:0D:4A:6D:31:59,-63
1521234348.496,EC:8F:47:27:6C:DE,-66
1521234348.500,EC:8F:47:27:6C:DE,-65
1521234348.504,C8:2F:80:DA:26:94,-68
1521234348.508,C8:2F:80:DA:26:94,-68
1521234348.511,4B:F7:FA:A9:DF:E3,-102
1521234348.516,F1:4E:55:EA:ED:A4,-65
1521234348.526,F1:4E:55:EA:ED:A4,-65
1521234348.533,D9:86:6F:AF:E8:90,-66
1521234348.536,D9:86:6F:AF:E8:90,-66
1521234348.748,D9:86:6F:AF:E8:90,-67
1521234348.749,D9:86:6F:AF:E8:90,-66
1521234348.750,CB:3C:59:5F:87:FB,-65
1521234348.753,CB:3C:59:5F:87:FB,-65
1521234348.761,1D:35:DA:3F:51:F6,-63
1521234348.775,78:4F:43:78:44:5D,-101
1521234348.779,5F:17:B5:B3:51:A4,-102
1521234348.783,E8:FA:0D:3C:01:82,-61
1521234348.795,E8:FA:0D:3C:01:82,-61
1521234348.799,E5:3B:3A:53:DF:6C,-74
1521234348.801,E5:3B:3A:53:DF:6C,-77
1521234348.803,DC:94:C8:A9:D0:B6,-69
1521234348.828,DC:94:C8:A9:D0:B6,-70
1521234348.829,C2:57:36:E6:71:6E,-69
1521234348.832,C2:57:36:E6:71:6E,-70
1521234348.843,CB:3C:59:5F:87:FB,-63
1521234348.860,CB:3C:59:5F:87:FB,-63
1521234348.865,C1:96:24:5B:EB:97,-68
1521234348.869,C1:96:24:5B:EB:97,-68
1521234348.872,61:B8:47:F5:59:8C,-101
1521234348.874,1D:35:DA:3F:51:F6,-66
1521234348.876,4B:F7:FA:A9:DF:E3,-93
1521234348.878,4B:F7:FA:A9:DF:E3,-93
1521234348.882,75:33:23:D6:E1:5E,-101
1521234348.885,FD:99:D9:69:5D:BC,-70
1521234348.891,FD:99:D9:69:5D:BC,-70
1521234348.893,98:9E:63:42:70:FD,-102
1521234348.900,E9:0D:4A:6D:31:59,-68
1521234348.908,E9:0D:4A:6D:31:59,-68
1521234348.911,EC:8F:47:27:6C:DE,-71
1521234348.911,EC:8F:47:27:6C:DE,-71
1521234348.915,C8:2F:80:DA:26:94,-68
1521234348.932,C8:2F:80:DA:26:94,-68
1521234348.933,7E:2E:AA:0F:02:3A,-101
1521234348.936,F1:4E:55:EA:ED:A4,-68
1521234348.940,F1:4E:55:EA:ED:A4,-68
1521234349.139,F1:4E:55:EA:ED:A4,-64
1521234349.149,F1:4E:55:EA:ED:A4,-64
1521234349.152,78:4F:43:78:44:5D,-103
1521234349.153,D9:86:6F:AF:E8:90,-67
1521234349.173,D9:86:6F:AF:E8:90,-67
1521234349.175,44:92:D4:25:A8:13,-101
1521234349.188,1D:35:DA:3F:51:F6,-58
1521234349.190,E8:FA:0D:3C:01:82,-63
1521234349.209,E8:FA:0D:3C:01:82,-63
1521234349.211,7E:2E:AA:0F:02:3A,-95
1521234349.213,7E:2E:AA:0F:02:3A,-96
1521234349.216,E5:3B:3A:53:DF:6C,-65
1521234349.217,E5:3B:3A:53:DF:6C,-65
1521234349.218,DC:94:C8:A9:D0:B6,-63
1521234349.222,DC:94:C8:A9:D0:B6,-62
1521234349.224,76:3F:BE:C1:44:D9,-85
1521234349.232,76:3F:BE:C1:44:D9,-85
1521234349.236,C2:57:36:E6:71:6E,-68
1521234349.236,C2:57:36:E6:71:6E,-69
1521234349.756,F1:4E:55:EA:ED:A4,-63
1521234349.768,F1:4E:55:EA:ED:A4,-63
1521234349.770,D9:86:6F:AF:E8:90,-67
1521234349.772,D9:86:6F:AF:E8:90,-67
1521234349.774,F8:77:B8:B9:2D:74,-103
1521234349.782,46:B4:1F:46:95:66,-94
1521234349.801,E8:FA:0D:3C:01:82,-60
1521234349.825,E8:FA:0D:3C:01:82,-60
1521234349.829,1D:35:DA:3F:51:F6,-64
1521234349.832,DC:94:C8:A9:D0:B6,-71
1521234349.837,DC:94:C8:A9:D0:B6,-71
1521234350.070,C2:57:36:E6:71:6E,-70
1521234350.070,C2:57:36:E6:71:6E,-70
1521234350.071,61:B8:47:F5:59:8C,-101
1521234350.071,61:B8:47:F5:59:8C,-101
1521234350.072,46:B4:1F:46:95:66,-88
1521234350.078,46:B4:1F:46:95:66,-88
1521234350.081,CB:3C:59:5F:87:FB,-63
1521234350.085,CB:3C:59:5F:87:FB,-63
1521234350.093,E5:3B:3A:53:DF:6C,-65
1521234350.095,E5:3B:3A:53:DF:6C,-65
1521234350.097,C1:96:24:5B:EB:97,-68
1521234350.102,C1:96:24:5B:EB:97,-67
1521234350.114,FD:99:D9:69:5D:BC,-72
1521234350.124,FD:99:D9:69:5D:BC,-72
1521234350.128,61:B8:47:F5:59:8C,-103
1521234350.135,75:33:23:D6:E1:5E,-96
1521234350.138,75:33:23:D6:E1:5E,-99
1521234350.141,3C:15:C2:C7:F7:27,-98
1521234350.143,EC:8F:47:27:6C:DE,-72
1521234350.145,EC:8F:47:27:6C:DE,-73
1521234350.146,1D:35:DA:3F:51:F6,-68
1521234350.147,98:9E:63:42:70:FD,-103
1521234350.340,EC:8F:47:27:6C:DE,-67
1521234350.349,EC:8F:47:27:6C:DE,-66
1521234350.351,98:9E:63:42:70:FD,-102
1521234350.354,E9:0D:4A:6D:31:59,-63
1521234350.362,E9:0D:4A:6D:31:59,-63
1521234350.366,C1:96:24:5B:EB:97,-60
1521234350.369,C1:96:24:5B:EB:97,-60
1521234350.370,F1:4E:55:EA:ED:A4,-65
1521234350.377,F1:4E:55:EA:ED:A4,-65
1521234350.378,D9:86:6F:AF:E8:90,-66
1521234350.384,D9:86:6F:AF:E8:90,-66
1521234350.386,98:9E:63:42:70:FD,-103
1521234350.399,C8:2F:80:DA:26:94,-68
1521234350.413,C8:2F:80:DA:26:94,-68
1521234350.416,61:B8:47:F5:59:8C,-103
