-----------------------------
1521233397.376,starting test
1521233397.377,F1:4E:55:EA:ED:A4,-65
1521233397.383,F1:4E:55:EA:ED:A4,-65
1521233397.384,E5:3B:3A:53:DF:6C,-61
1521233397.386,E5:3B:3A:53:DF:6C,-61
1521233397.396,C1:96:24:5B:EB:97,-63
1521233397.633,D9:86:6F:AF:E8:90,-58
1521233397.634,D9:86:6F:AF:E8:90,-58
1521233397.634,C8:2F:80:DA:26:94,-62
1521233397.636,C8:2F:80:DA:26:94,-62
1521233397.646,0B:08:73:E6:B1:67,-64
1521233397.650,FD:99:D9:69:5D:BC,-62
1521233397.669,FD:99:D9:69:5D:BC,-62
1521233397.673,6A:8D:B7:88:D6:A0,-75
1521233397.679,6A:8D:B7:88:D6:A0,-74
1521233397.681,DC:94:C8:A9:D0:B6,-62
1521233397.683,DC:94:C8:A9:D0:B6,-63
1521233397.687,E8:FA:0D:3C:01:82,-60
1521233397.691,E8:FA:0D:3C:01:82,-60
1521233397.693,75:33:23:D6:E1:5E,-101
1521233397.695,EC:8F:47:27:6C:DE,-61
1521233397.700,EC:8F:47:27:6C:DE,-61
1521233397.700,F8:77:B8:B9:2D:74,-103
1521233397.930,CB:3C:59:5F:87:FB,-56
1521233397.933,CB:3C:59:5F:87:FB,-56
1521233397.934,E8:FA:0D:3C:01:82,-60
1521233397.937,E8:FA:0D:3C:01:82,-60
1521233397.939,6A:8D:B7:88:D6:A0,-83
1521233397.966,6A:8D:B7:88:D6:A0,-83
1521233397.968,0B:08:73:E6:B1:67,-63
1521233397.983,C2:57:36:E6:71:6E,-62
1521233397.994,C2:57:36:E6:71:6E,-62
1521233397.995,F1:4E:55:EA:ED:A4,-60
1521233397.996,F1:4E:55:EA:ED:A4,-60
1521233398.000,E5:3B:3A:53:DF:6C,-57
1521233398.007,E5:3B:3A:53:DF:6C,-57
1521233398.008,E9:0D:4A:6D:31:59,-58
1521233398.016,E9:0D:4A:6D:31:59,-58
1521233398.018,C1:96:24:5B:EB:97,-55
1521233398.019,C1:96:24:5B:EB:97,-55
1521233398.233,C1:96:24:5B:EB:97,-63
1521233398.234,C1:96:24:5B:EB:97,-63
1521233398.235,D9:86:6F:AF:E8:90,-59
1521233398.237,D9:86:6F:AF:E8:90,-59
1521233398.239,5F:17:B5:B3:51:A4,-102
1521233398.243,C8:2F:80:DA:26:94,-68
1521233398.257,C8:2F:80:DA:26:94,-68
1521233398.259,78:4F:43:78:44:5D,-101
1521233398.267,FD:99:D9:69:5D:BC,-61
1521233398.275,FD:99:D9:69:5D:BC,-61
1521233398.277,5F:17:B5:B3:51:A4,-102
1521233398.282,0B:08:73:E6:B1:67,-57
1521233398.294,DC:94:C8:A9:D0:B6,-72
1521233398.300,DC:94:C8:A9:D0:B6,-71
1521233398.305,EC:8F:47:27:6C:DE,-61
1521233398.308,EC:8F:47:27:6C:DE,-61
1521233398.542,CB:3C:59:5F:87:FB,-56
1521233398.556,CB:3C:59:5F:87:FB,-56
1521233398.558,E8:FA:0D:3C:01:82,-60
1521233398.560,E8:FA:0D:3C:01:82,-60
1521233398.583,3C:15:C2:C7:F7:27,-101
1521233398.589,68:64:4B:39:4B:0F,-103
1521233398.592,C2:57:36:E6:71:6E,-66
1521233398.600,C2:57:36:E6:71:6E,-67
1521233398.602,0B:08:73:E6:B1:67,-64
