-----------------------------
1520460139.607,starting test
1520460142.895,C8:2F:80:DA:26:94,-56
1520460142.907,C8:2F:80:DA:26:94,-56
1520460142.908,C2:57:36:E6:71:6E,-54
1520460142.925,F1:4E:55:EA:ED:A4,-55
1520460142.951,F1:4E:55:EA:ED:A4,-55
1520460143.160,EC:8F:47:27:6C:DE,-56
1520460143.175,EC:8F:47:27:6C:DE,-56
1520460143.177,CB:3C:59:5F:87:FB,-55
1520460143.179,CB:3C:59:5F:87:FB,-54
1520460143.224,1F:9C:A1:B9:1A:73,-72
1520460143.226,D9:86:6F:AF:E8:90,-58
1520460143.247,D9:86:6F:AF:E8:90,-58
1520460143.250,E9:0D:4A:6D:31:59,-55
1520460143.483,C1:96:24:5B:EB:97,-50
1520460143.489,C1:96:24:5B:EB:97,-50
1520460143.491,FD:99:D9:69:5D:BC,-56
1520460143.497,FD:99:D9:69:5D:BC,-56
1520460143.499,E8:FA:0D:3C:01:82,-55
1520460143.501,E8:FA:0D:3C:01:82,-55
1520460143.503,C8:2F:80:DA:26:94,-56
1520460143.505,C8:2F:80:DA:26:94,-56
1520460143.518,C2:57:36:E6:71:6E,-55
1520460143.528,C2:57:36:E6:71:6E,-55
1520460143.531,E5:3B:3A:53:DF:6C,-55
1520460143.536,F1:4E:55:EA:ED:A4,-55
1520460143.538,F1:4E:55:EA:ED:A4,-55
1520460143.542,1F:9C:A1:B9:1A:73,-54
1520460143.797,EC:8F:47:27:6C:DE,-55
1520460143.797,EC:8F:47:27:6C:DE,-55
1520460143.798,68:64:4B:39:4B:0F,-101
1520460143.822,CB:3C:59:5F:87:FB,-53
1520460143.849,CB:3C:59:5F:87:FB,-53
1520460143.851,D9:86:6F:AF:E8:90,-53
1520460143.852,D9:86:6F:AF:E8:90,-53
1520460143.853,1F:9C:A1:B9:1A:73,-57
1520460144.061,1F:9C:A1:B9:1A:73,-70
1520460144.064,E9:0D:4A:6D:31:59,-55
1520460144.064,E9:0D:4A:6D:31:59,-55
1520460144.079,C1:96:24:5B:EB:97,-52
1520460144.102,C1:96:24:5B:EB:97,-51
1520460144.108,E8:FA:0D:3C:01:82,-55
1520460144.110,E8:FA:0D:3C:01:82,-55
1520460144.112,FD:99:D9:69:5D:BC,-55
1520460144.117,FD:99:D9:69:5D:BC,-55
1520460144.119,C8:2F:80:DA:26:94,-57
1520460144.126,C2:57:36:E6:71:6E,-58
1520460144.143,C2:57:36:E6:71:6E,-58
1520460144.144,E5:3B:3A:53:DF:6C,-58
1520460144.148,E5:3B:3A:53:DF:6C,-58
1520460144.151,DC:94:C8:A9:D0:B6,-58
1520460144.152,DC:94:C8:A9:D0:B6,-57
1520460144.362,F1:4E:55:EA:ED:A4,-55
1520460144.363,F1:4E:55:EA:ED:A4,-55
1520460144.363,DC:94:C8:A9:D0:B6,-55
1520460144.364,DC:94:C8:A9:D0:B6,-55
1520460144.369,1F:9C:A1:B9:1A:73,-54
1520460144.404,EC:8F:47:27:6C:DE,-56
1520460144.431,EC:8F:47:27:6C:DE,-56
1520460144.433,CB:3C:59:5F:87:FB,-55
1520460144.435,CB:3C:59:5F:87:FB,-55
1520460144.442,EC:8F:47:27:6C:DE,-56
1520460144.450,EC:8F:47:27:6C:DE,-56
1520460144.667,D9:86:6F:AF:E8:90,-53
1520460144.679,D9:86:6F:AF:E8:90,-53
1520460144.681,1F:9C:A1:B9:1A:73,-56
1520460144.683,E9:0D:4A:6D:31:59,-55
1520460144.699,E9:0D:4A:6D:31:59,-55
1520460144.701,C1:96:24:5B:EB:97,-50
1520460144.703,C1:96:24:5B:EB:97,-50
1520460144.709,68:64:4B:39:4B:0F,-101
1520460144.715,E8:FA:0D:3C:01:82,-55
1520460144.726,E8:FA:0D:3C:01:82,-55
1520460144.732,FD:99:D9:69:5D:BC,-53
1520460144.736,C2:57:36:E6:71:6E,-54
1520460144.751,C2:57:36:E6:71:6E,-54
1520460144.962,E5:3B:3A:53:DF:6C,-58
1520460144.971,E5:3B:3A:53:DF:6C,-58
1520460144.976,F1:4E:55:EA:ED:A4,-55
1520460144.977,F1:4E:55:EA:ED:A4,-55
1520460144.982,DC:94:C8:A9:D0:B6,-58
1520460144.993,DC:94:C8:A9:D0:B6,-57
1520460144.995,1F:9C:A1:B9:1A:73,-70
1520460145.009,C8:2F:80:DA:26:94,-57
1520460145.042,C8:2F:80:DA:26:94,-57
1520460145.044,CB:3C:59:5F:87:FB,-54
1520460145.046,CB:3C:59:5F:87:FB,-54
1520460145.564,C2:57:36:E6:71:6E,-55
1520460145.566,C2:57:36:E6:71:6E,-55
1520460145.566,F8:77:B8:B9:2D:74,-93
1520460145.886,EC:8F:47:27:6C:DE,-55
1520460145.892,EC:8F:47:27:6C:DE,-55
1520460145.894,D9:86:6F:AF:E8:90,-53
1520460145.898,D9:86:6F:AF:E8:90,-53
1520460145.915,E9:0D:4A:6D:31:59,-54
1520460145.926,C1:96:24:5B:EB:97,-50
1520460145.934,78:4F:43:78:44:5D,-103
1520460145.944,E8:FA:0D:3C:01:82,-55
1520460145.952,E8:FA:0D:3C:01:82,-55
1520460145.955,D9:86:6F:AF:E8:90,-53
1520460145.959,D9:86:6F:AF:E8:90,-53
1520460145.960,FD:99:D9:69:5D:BC,-53
1520460145.961,FD:99:D9:69:5D:BC,-53
1520460145.975,C2:57:36:E6:71:6E,-54
1520460145.975,C2:57:36:E6:71:6E,-54
1520460146.192,F8:77:B8:B9:2D:74,-98
1520460146.193,C2:57:36:E6:71:6E,-58
1520460146.198,C2:57:36:E6:71:6E,-58
1520460146.202,E5:3B:3A:53:DF:6C,-58
1520460146.205,E5:3B:3A:53:DF:6C,-58
1520460146.206,F1:4E:55:EA:ED:A4,-55
1520460146.238,F1:4E:55:EA:ED:A4,-55
1520460146.242,1F:9C:A1:B9:1A:73,-70
1520460146.243,C8:2F:80:DA:26:94,-57
1520460146.252,C8:2F:80:DA:26:94,-56
1520460146.254,DC:94:C8:A9:D0:B6,-58
1520460146.256,DC:94:C8:A9:D0:B6,-57
1520460146.796,C2:57:36:E6:71:6E,-55
1520460146.802,C2:57:36:E6:71:6E,-55
1520460146.806,F8:77:B8:B9:2D:74,-92
1520460146.815,E5:3B:3A:53:DF:6C,-55
1520460146.819,E5:3B:3A:53:DF:6C,-55
1520460146.821,F1:4E:55:EA:ED:A4,-55
1520460146.823,F1:4E:55:EA:ED:A4,-55
1520460146.849,78:4F:43:78:44:5D,-101
1520460146.853,C8:2F:80:DA:26:94,-56
1520460146.862,C8:2F:80:DA:26:94,-56
1520460146.863,DC:94:C8:A9:D0:B6,-55
1520460146.865,DC:94:C8:A9:D0:B6,-55
1520460146.870,1F:9C:A1:B9:1A:73,-54
1520460147.091,1F:9C:A1:B9:1A:73,-58
1520460147.093,CB:3C:59:5F:87:FB,-53
1520460147.113,CB:3C:59:5F:87:FB,-53
1520460147.117,EC:8F:47:27:6C:DE,-55
1520460147.119,EC:8F:47:27:6C:DE,-55
1520460147.156,C1:96:24:5B:EB:97,-50
1520460147.176,C1:96:24:5B:EB:97,-50
1520460147.179,FD:99:D9:69:5D:BC,-53
1520460147.376,FD:99:D9:69:5D:BC,-55
1520460147.386,FD:99:D9:69:5D:BC,-55
1520460147.389,E8:FA:0D:3C:01:82,-55
1520460147.393,E8:FA:0D:3C:01:82,-55
1520460147.394,D9:86:6F:AF:E8:90,-58
1520460147.403,D9:86:6F:AF:E8:90,-58
1520460147.409,C2:57:36:E6:71:6E,-58
1520460147.411,E9:0D:4A:6D:31:59,-55
1520460147.426,F8:77:B8:B9:2D:74,-97
1520460147.434,F1:4E:55:EA:ED:A4,-55
1520460147.436,F1:4E:55:EA:ED:A4,-55
1520460147.440,E5:3B:3A:53:DF:6C,-58
1520460147.440,E5:3B:3A:53:DF:6C,-58
1520460147.460,68:64:4B:39:4B:0F,-100
1520460147.474,DC:94:C8:A9:D0:B6,-58
1520460147.691,C8:2F:80:DA:26:94,-56
1520460147.692,C8:2F:80:DA:26:94,-56
1520460147.692,C2:57:36:E6:71:6E,-55
1520460147.693,C2:57:36:E6:71:6E,-55
1520460147.708,CB:3C:59:5F:87:FB,-54
1520460147.733,CB:3C:59:5F:87:FB,-54
1520460147.735,1F:9C:A1:B9:1A:73,-54
1520460147.737,EC:8F:47:27:6C:DE,-56
1520460147.741,EC:8F:47:27:6C:DE,-56
1520460147.764,78:4F:43:78:44:5D,-102
1520460147.985,C1:96:24:5B:EB:97,-50
1520460147.990,C1:96:24:5B:EB:97,-50
1520460147.993,FD:99:D9:69:5D:BC,-53
1520460147.994,FD:99:D9:69:5D:BC,-53
1520460148.002,E8:FA:0D:3C:01:82,-55
1520460148.017,E8:FA:0D:3C:01:82,-55
1520460148.019,D9:86:6F:AF:E8:90,-53
1520460148.021,D9:86:6F:AF:E8:90,-53
1520460148.023,E9:0D:4A:6D:31:59,-54
1520460148.049,E9:0D:4A:6D:31:59,-54
1520460148.051,E5:3B:3A:53:DF:6C,-55
1520460148.052,E5:3B:3A:53:DF:6C,-55
1520460148.053,1F:9C:A1:B9:1A:73,-57
1520460148.305,DC:94:C8:A9:D0:B6,-57
1520460148.307,DC:94:C8:A9:D0:B6,-57
1520460148.311,C2:57:36:E6:71:6E,-58
1520460148.313,C2:57:36:E6:71:6E,-58
1520460148.316,C8:2F:80:DA:26:94,-57
1520460148.318,C8:2F:80:DA:26:94,-57
1520460148.321,E5:3B:3A:53:DF:6C,-58
1520460148.323,CB:3C:59:5F:87:FB,-55
1520460148.352,CB:3C:59:5F:87:FB,-54
1520460148.353,EC:8F:47:27:6C:DE,-56
1520460148.355,EC:8F:47:27:6C:DE,-56
1520460148.364,F8:77:B8:B9:2D:74,-98
1520460148.369,1F:9C:A1:B9:1A:73,-69
1520460148.588,1F:9C:A1:B9:1A:73,-55
1520460148.596,FD:99:D9:69:5D:BC,-56
1520460148.634,FD:99:D9:69:5D:BC,-56
1520460148.636,E9:0D:4A:6D:31:59,-56
1520460148.638,E9:0D:4A:6D:31:59,-56
1520460148.640,D9:86:6F:AF:E8:90,-55
1520460148.643,D9:86:6F:AF:E8:90,-55
1520460148.652,C1:96:24:5B:EB:97,-50
1520460148.669,C1:96:24:5B:EB:97,-50
1520460148.671,F8:77:B8:B9:2D:74,-93
1520460148.902,FD:99:D9:69:5D:BC,-53
1520460148.903,FD:99:D9:69:5D:BC,-53
1520460148.903,1F:9C:A1:B9:1A:73,-57
1520460148.904,E8:FA:0D:3C:01:82,-55
1520460148.904,E8:FA:0D:3C:01:82,-55
1520460148.906,DC:94:C8:A9:D0:B6,-58
1520460148.908,DC:94:C8:A9:D0:B6,-58
1520460148.927,F1:4E:55:EA:ED:A4,-55
1520460148.929,CB:3C:59:5F:87:FB,-53
1520460148.933,CB:3C:59:5F:87:FB,-53
1520460148.933,C2:57:36:E6:71:6E,-54
1520460148.957,EC:8F:47:27:6C:DE,-55
