-----------------------------
1520459383.575,starting test
1520459383.575,EC:8F:47:27:6C:DE,-65
1520459383.579,CB:3C:59:5F:87:FB,-65
1520459383.606,CB:3C:59:5F:87:FB,-65
1520459383.831,D9:86:6F:AF:E8:90,-63
1520459383.833,D9:86:6F:AF:E8:90,-63
1520459383.835,C1:96:24:5B:EB:97,-56
1520459383.837,C1:96:24:5B:EB:97,-56
1520459383.858,68:64:4B:39:4B:0F,-103
1520459383.868,C2:57:36:E6:71:6E,-60
1520459383.882,C2:57:36:E6:71:6E,-60
1520459383.882,E5:3B:3A:53:DF:6C,-60
1520459383.883,E5:3B:3A:53:DF:6C,-60
1520459383.887,F1:4E:55:EA:ED:A4,-62
1520459383.889,F1:4E:55:EA:ED:A4,-62
1520459383.899,C8:2F:80:DA:26:94,-68
1520459383.901,C8:2F:80:DA:26:94,-68
1520459383.901,75:33:23:D6:E1:5E,-99
1520459383.904,01:03:AD:B6:F5:B6,-58
1520459384.124,01:03:AD:B6:F5:B6,-70
1520459384.125,DC:94:C8:A9:D0:B6,-68
1520459384.134,DC:94:C8:A9:D0:B6,-68
1520459384.137,F8:77:B8:B9:2D:74,-97
1520459384.211,EC:8F:47:27:6C:DE,-63
1520459384.215,EC:8F:47:27:6C:DE,-63
1520459384.431,68:64:4B:39:4B:0F,-98
1520459384.432,01:03:AD:B6:F5:B6,-55
1520459384.433,F8:77:B8:B9:2D:74,-94
1520459384.437,C1:96:24:5B:EB:97,-58
1520459384.448,C1:96:24:5B:EB:97,-58
1520459384.449,D9:86:6F:AF:E8:90,-66
1520459384.450,D9:86:6F:AF:E8:90,-66
1520459384.453,E8:FA:0D:3C:01:82,-61
1520459384.462,E8:FA:0D:3C:01:82,-61
1520459384.466,E9:0D:4A:6D:31:59,-64
1520459384.470,E9:0D:4A:6D:31:59,-64
1520459384.476,C2:57:36:E6:71:6E,-68
1520459384.485,C2:57:36:E6:71:6E,-68
1520459384.487,F1:4E:55:EA:ED:A4,-64
1520459384.489,F1:4E:55:EA:ED:A4,-64
1520459384.494,E5:3B:3A:53:DF:6C,-61
1520459384.509,E5:3B:3A:53:DF:6C,-61
1520459384.727,C8:2F:80:DA:26:94,-68
1520459384.737,C8:2F:80:DA:26:94,-68
1520459384.739,DC:94:C8:A9:D0:B6,-61
1520459384.806,EC:8F:47:27:6C:DE,-63
1520459384.810,EC:8F:47:27:6C:DE,-63
1520459385.018,CB:3C:59:5F:87:FB,-63
1520459385.052,CB:3C:59:5F:87:FB,-63
1520459385.056,C1:96:24:5B:EB:97,-63
1520459385.059,C1:96:24:5B:EB:97,-67
1520459385.063,F8:77:B8:B9:2D:74,-97
1520459385.065,D9:86:6F:AF:E8:90,-68
1520459385.070,D9:86:6F:AF:E8:90,-68
1520459385.073,E8:FA:0D:3C:01:82,-68
1520459385.077,E8:FA:0D:3C:01:82,-68
1520459385.085,E9:0D:4A:6D:31:59,-62
1520459385.100,E9:0D:4A:6D:31:59,-61
1520459385.103,F1:4E:55:EA:ED:A4,-64
1520459385.105,F1:4E:55:EA:ED:A4,-65
1520459385.108,FD:99:D9:69:5D:BC,-63
1520459385.109,FD:99:D9:69:5D:BC,-63
1520459385.113,C2:57:36:E6:71:6E,-63
1520459385.115,C2:57:36:E6:71:6E,-63
1520459385.332,E5:3B:3A:53:DF:6C,-61
1520459385.334,E5:3B:3A:53:DF:6C,-61
1520459385.336,68:64:4B:39:4B:0F,-98
1520459385.340,C8:2F:80:DA:26:94,-68
1520459385.355,C8:2F:80:DA:26:94,-68
1520459385.361,DC:94:C8:A9:D0:B6,-63
1520459385.363,DC:94:C8:A9:D0:B6,-63
1520459385.368,F1:4E:55:EA:ED:A4,-65
1520459385.370,F1:4E:55:EA:ED:A4,-64
1520459385.372,C2:57:36:E6:71:6E,-68
1520459385.376,C2:57:36:E6:71:6E,-68
1520459385.380,01:03:AD:B6:F5:B6,-55
1520459385.380,F8:77:B8:B9:2D:74,-95
1520459385.619,EC:8F:47:27:6C:DE,-63
1520459385.634,EC:8F:47:27:6C:DE,-64
1520459385.638,CB:3C:59:5F:87:FB,-60
1520459385.640,CB:3C:59:5F:87:FB,-60
1520459385.669,C1:96:24:5B:EB:97,-56
1520459385.677,C1:96:24:5B:EB:97,-56
1520459385.679,D9:86:6F:AF:E8:90,-63
1520459385.692,E8:FA:0D:3C:01:82,-59
1520459385.709,E8:FA:0D:3C:01:82,-59
1520459385.713,E9:0D:4A:6D:31:59,-61
1520459385.718,E9:0D:4A:6D:31:59,-61
1520459385.931,75:33:23:D6:E1:5E,-101
1520459385.931,C1:96:24:5B:EB:97,-63
1520459385.932,C1:96:24:5B:EB:97,-63
1520459385.933,FD:99:D9:69:5D:BC,-64
1520459385.933,FD:99:D9:69:5D:BC,-64
1520459385.956,E8:FA:0D:3C:01:82,-68
1520459385.978,DC:94:C8:A9:D0:B6,-68
1520459385.982,F8:77:B8:B9:2D:74,-98
1520459385.987,01:03:AD:B6:F5:B6,-72
1520459385.991,C2:57:36:E6:71:6E,-62
1520459386.004,C2:57:36:E6:71:6E,-62
1520459386.005,E5:3B:3A:53:DF:6C,-65
1520459386.007,E5:3B:3A:53:DF:6C,-65
1520459386.227,EC:8F:47:27:6C:DE,-65
1520459386.249,EC:8F:47:27:6C:DE,-65
1520459386.250,CB:3C:59:5F:87:FB,-65
1520459386.251,CB:3C:59:5F:87:FB,-65
1520459386.291,D9:86:6F:AF:E8:90,-66
1520459386.293,D9:86:6F:AF:E8:90,-66
1520459386.295,F8:77:B8:B9:2D:74,-93
1520459386.514,01:03:AD:B6:F5:B6,-58
1520459386.521,E9:0D:4A:6D:31:59,-61
1520459386.561,E9:0D:4A:6D:31:59,-61
1520459386.563,C8:2F:80:DA:26:94,-68
1520459386.565,C8:2F:80:DA:26:94,-68
1520459386.577,E8:FA:0D:3C:01:82,-58
1520459386.580,E8:FA:0D:3C:01:82,-58
1520459386.582,FD:99:D9:69:5D:BC,-63
1520459386.587,FD:99:D9:69:5D:BC,-63
1520459386.589,F1:4E:55:EA:ED:A4,-62
1520459386.595,F1:4E:55:EA:ED:A4,-62
1520459386.598,DC:94:C8:A9:D0:B6,-61
1520459386.601,DC:94:C8:A9:D0:B6,-62
1520459386.605,C2:57:36:E6:71:6E,-60
1520459386.614,C2:57:36:E6:71:6E,-60
1520459386.828,C2:57:36:E6:71:6E,-62
1520459386.829,C2:57:36:E6:71:6E,-62
1520459386.830,E5:3B:3A:53:DF:6C,-64
1520459386.830,E5:3B:3A:53:DF:6C,-64
1520459386.831,01:03:AD:B6:F5:B6,-71
1520459386.834,75:33:23:D6:E1:5E,-99
1520459386.849,EC:8F:47:27:6C:DE,-63
1520459386.866,EC:8F:47:27:6C:DE,-63
1520459386.869,CB:3C:59:5F:87:FB,-63
1520459386.871,CB:3C:59:5F:87:FB,-63
1520459386.904,D9:86:6F:AF:E8:90,-66
1520459386.910,D9:86:6F:AF:E8:90,-66
1520459387.147,E9:0D:4A:6D:31:59,-63
1520459387.150,E9:0D:4A:6D:31:59,-63
1520459387.151,C1:96:24:5B:EB:97,-58
1520459387.151,C1:96:24:5B:EB:97,-58
1520459387.151,01:03:AD:B6:F5:B6,-57
1520459387.161,68:64:4B:39:4B:0F,-98
1520459387.174,C8:2F:80:DA:26:94,-68
1520459387.194,C8:2F:80:DA:26:94,-68
1520459387.196,FD:99:D9:69:5D:BC,-68
1520459387.200,DC:94:C8:A9:D0:B6,-63
1520459387.208,DC:94:C8:A9:D0:B6,-63
1520459387.212,F1:4E:55:EA:ED:A4,-64
1520459387.214,F1:4E:55:EA:ED:A4,-64
1520459387.411,F1:4E:55:EA:ED:A4,-62
