-----------------------------
1520460955.384,starting test
1520460955.384,EC:8F:47:27:6C:DE,-59
1520460955.409,EC:8F:47:27:6C:DE,-59
1520460955.411,2B:4F:F3:D4:83:8C,-55
1520460955.415,CB:3C:59:5F:87:FB,-58
1520460955.418,CB:3C:59:5F:87:FB,-58
1520460955.420,F8:77:B8:B9:2D:74,-93
1520460955.654,E9:0D:4A:6D:31:59,-58
1520460955.684,E9:0D:4A:6D:31:59,-58
1520460955.686,FD:99:D9:69:5D:BC,-59
1520460955.688,FD:99:D9:69:5D:BC,-59
1520460955.690,E8:FA:0D:3C:01:82,-58
1520460955.706,E8:FA:0D:3C:01:82,-58
1520460955.708,DC:94:C8:A9:D0:B6,-58
1520460955.710,DC:94:C8:A9:D0:B6,-58
1520460955.716,E5:3B:3A:53:DF:6C,-56
1520460955.729,E5:3B:3A:53:DF:6C,-56
1520460955.732,2B:4F:F3:D4:83:8C,-57
1520460955.950,2B:4F:F3:D4:83:8C,-70
1520460955.952,C2:57:36:E6:71:6E,-59
1520460955.968,C2:57:36:E6:71:6E,-59
1520460955.970,F1:4E:55:EA:ED:A4,-58
1520460955.973,F1:4E:55:EA:ED:A4,-58
1520460955.976,C8:2F:80:DA:26:94,-59
1520460955.993,C8:2F:80:DA:26:94,-59
1520460955.995,EC:8F:47:27:6C:DE,-58
1520460955.996,EC:8F:47:27:6C:DE,-58
1520460956.028,CB:3C:59:5F:87:FB,-55
1520460956.033,CB:3C:59:5F:87:FB,-55
1520460956.273,E9:0D:4A:6D:31:59,-58
1520460956.273,E9:0D:4A:6D:31:59,-58
1520460956.274,2B:4F:F3:D4:83:8C,-55
1520460956.275,68:64:4B:39:4B:0F,-96
1520460956.278,D9:86:6F:AF:E8:90,-59
1520460956.289,61:BD:B8:45:93:20,-99
1520460956.293,FD:99:D9:69:5D:BC,-60
1520460956.310,FD:99:D9:69:5D:BC,-60
1520460956.313,E8:FA:0D:3C:01:82,-57
1520460956.315,E8:FA:0D:3C:01:82,-57
1520460956.321,58:CF:4D:46:6B:20,-103
1520460956.329,DC:94:C8:A9:D0:B6,-57
1520460956.333,DC:94:C8:A9:D0:B6,-57
1520460956.335,E5:3B:3A:53:DF:6C,-56
1520460956.341,E5:3B:3A:53:DF:6C,-56
1520460956.535,E5:3B:3A:53:DF:6C,-56
1520460956.567,E5:3B:3A:53:DF:6C,-56
1520460956.569,2B:4F:F3:D4:83:8C,-57
1520460956.572,C2:57:36:E6:71:6E,-58
1520460956.592,C2:57:36:E6:71:6E,-58
1520460956.598,F1:4E:55:EA:ED:A4,-58
1520460956.601,F1:4E:55:EA:ED:A4,-58
1520460956.602,C8:2F:80:DA:26:94,-58
1520460956.603,C8:2F:80:DA:26:94,-58
1520460956.604,DC:94:C8:A9:D0:B6,-58
1520460956.607,DC:94:C8:A9:D0:B6,-58
1520460956.609,EC:8F:47:27:6C:DE,-58
1520460956.630,EC:8F:47:27:6C:DE,-58
1520460956.632,68:64:4B:39:4B:0F,-100
1520460956.851,CB:3C:59:5F:87:FB,-55
1520460956.865,CB:3C:59:5F:87:FB,-55
1520460956.869,E9:0D:4A:6D:31:59,-58
1520460956.869,E9:0D:4A:6D:31:59,-58
1520460956.875,2B:4F:F3:D4:83:8C,-67
1520460956.891,C1:96:24:5B:EB:97,-55
1520460956.915,C1:96:24:5B:EB:97,-55
1520460956.916,FD:99:D9:69:5D:BC,-58
1520460956.919,FD:99:D9:69:5D:BC,-58
1520460956.932,E8:FA:0D:3C:01:82,-59
1520460956.932,E8:FA:0D:3C:01:82,-59
1520460956.934,D9:86:6F:AF:E8:90,-59
1520460956.936,D9:86:6F:AF:E8:90,-58
1520460957.155,E5:3B:3A:53:DF:6C,-57
1520460957.193,E5:3B:3A:53:DF:6C,-56
1520460957.194,C2:57:36:E6:71:6E,-58
1520460957.199,C2:57:36:E6:71:6E,-58
1520460957.200,2B:4F:F3:D4:83:8C,-53
1520460957.205,F1:4E:55:EA:ED:A4,-58
1520460957.209,F1:4E:55:EA:ED:A4,-58
1520460957.211,DC:94:C8:A9:D0:B6,-57
1520460957.215,DC:94:C8:A9:D0:B6,-57
1520460957.217,61:BD:B8:45:93:20,-98
1520460957.220,C8:2F:80:DA:26:94,-58
1520460957.227,C8:2F:80:DA:26:94,-58
1520460957.233,EC:8F:47:27:6C:DE,-59
1520460957.235,EC:8F:47:27:6C:DE,-59
1520460957.454,CB:3C:59:5F:87:FB,-55
1520460957.479,CB:3C:59:5F:87:FB,-55
1520460957.481,E9:0D:4A:6D:31:59,-58
1520460957.485,E9:0D:4A:6D:31:59,-58
1520460957.497,C1:96:24:5B:EB:97,-53
1520460957.521,C1:96:24:5B:EB:97,-53
1520460957.526,2B:4F:F3:D4:83:8C,-58
1520460957.529,FD:99:D9:69:5D:BC,-59
1520460957.533,FD:99:D9:69:5D:BC,-59
1520460957.751,FD:99:D9:69:5D:BC,-58
1520460957.751,FD:99:D9:69:5D:BC,-58
1520460957.752,F8:77:B8:B9:2D:74,-99
1520460957.752,D9:86:6F:AF:E8:90,-59
1520460957.754,D9:86:6F:AF:E8:90,-59
1520460957.757,E8:FA:0D:3C:01:82,-58
1520460957.760,E8:FA:0D:3C:01:82,-58
1520460957.763,E9:0D:4A:6D:31:59,-58
1520460957.775,E9:0D:4A:6D:31:59,-58
1520460957.777,E5:3B:3A:53:DF:6C,-56
1520460957.780,E5:3B:3A:53:DF:6C,-56
1520460957.781,4F:CB:32:43:A3:8A,-103
1520460957.799,C2:57:36:E6:71:6E,-58
