-----------------------------
1520459748.710,starting test
1520459752.079,CB:3C:59:5F:87:FB,-62
1520459752.082,B8:09:8A:C7:31:B4,-103
1520459752.340,FD:99:D9:69:5D:BC,-72
1520459752.353,FD:99:D9:69:5D:BC,-72
1520459752.355,1F:9C:A1:B9:1A:73,-65
1520459752.357,E9:0D:4A:6D:31:59,-64
1520459752.363,E9:0D:4A:6D:31:59,-64
1520459752.364,D9:86:6F:AF:E8:90,-68
1520459752.367,D9:86:6F:AF:E8:90,-68
1520459752.372,68:64:4B:39:4B:0F,-99
1520459752.372,F8:77:B8:B9:2D:74,-97
1520459752.378,C1:96:24:5B:EB:97,-62
1520459752.392,C1:96:24:5B:EB:97,-62
1520459752.611,DC:94:C8:A9:D0:B6,-61
1520459752.628,C8:2F:80:DA:26:94,-63
1520459752.629,C8:2F:80:DA:26:94,-63
1520459752.629,FD:99:D9:69:5D:BC,-69
1520459752.630,FD:99:D9:69:5D:BC,-69
1520459752.637,78:4F:43:78:44:5D,-103
1520459752.640,C2:57:36:E6:71:6E,-64
1520459752.657,C2:57:36:E6:71:6E,-64
1520459752.659,E5:3B:3A:53:DF:6C,-63
1520459752.660,E5:3B:3A:53:DF:6C,-63
1520459752.662,F1:4E:55:EA:ED:A4,-63
1520459752.665,F1:4E:55:EA:ED:A4,-63
1520459752.668,1F:9C:A1:B9:1A:73,-53
1520459752.670,EC:8F:47:27:6C:DE,-70
1520459752.678,EC:8F:47:27:6C:DE,-70
1520459752.680,F8:77:B8:B9:2D:74,-94
1520459752.687,CB:3C:59:5F:87:FB,-63
1520459752.690,CB:3C:59:5F:87:FB,-64
1520459752.907,CB:3C:59:5F:87:FB,-62
1520459752.968,CB:3C:59:5F:87:FB,-62
1520459752.977,61:BD:B8:45:93:20,-103
1520459752.979,E9:0D:4A:6D:31:59,-60
1520459752.983,E9:0D:4A:6D:31:59,-60
1520459752.985,D9:86:6F:AF:E8:90,-64
1520459752.988,D9:86:6F:AF:E8:90,-64
1520459752.990,1F:9C:A1:B9:1A:73,-57
1520459752.994,C1:96:24:5B:EB:97,-58
1520459752.996,C1:96:24:5B:EB:97,-58
1520459753.521,1F:9C:A1:B9:1A:73,-66
1520459753.563,CB:3C:59:5F:87:FB,-68
1520459753.592,CB:3C:59:5F:87:FB,-68
1520459753.594,F8:77:B8:B9:2D:74,-98
1520459753.596,E9:0D:4A:6D:31:59,-64
1520459753.598,E9:0D:4A:6D:31:59,-64
1520459753.814,E9:0D:4A:6D:31:59,-62
1520459753.815,E9:0D:4A:6D:31:59,-62
1520459753.815,D9:86:6F:AF:E8:90,-66
1520459753.816,D9:86:6F:AF:E8:90,-66
1520459753.817,C1:96:24:5B:EB:97,-59
1520459753.818,C1:96:24:5B:EB:97,-58
1520459753.819,1F:9C:A1:B9:1A:73,-53
1520459753.830,68:64:4B:39:4B:0F,-96
1520459753.841,DC:94:C8:A9:D0:B6,-61
1520459753.852,DC:94:C8:A9:D0:B6,-61
1520459753.858,E8:FA:0D:3C:01:82,-63
1520459753.858,E8:FA:0D:3C:01:82,-63
1520459753.861,FD:99:D9:69:5D:BC,-69
1520459753.864,FD:99:D9:69:5D:BC,-70
1520459753.865,C8:2F:80:DA:26:94,-63
1520459753.869,C8:2F:80:DA:26:94,-63
1520459753.873,C2:57:36:E6:71:6E,-64
1520459753.880,C2:57:36:E6:71:6E,-64
1520459753.881,E5:3B:3A:53:DF:6C,-63
1520459753.885,E5:3B:3A:53:DF:6C,-63
1520459753.892,61:BD:B8:45:93:20,-101
1520459753.894,61:BD:B8:45:93:20,-101
1520459753.896,F1:4E:55:EA:ED:A4,-63
1520459753.899,F1:4E:55:EA:ED:A4,-63
1520459753.900,F8:77:B8:B9:2D:74,-93
1520459754.095,F1:4E:55:EA:ED:A4,-60
1520459754.107,F1:4E:55:EA:ED:A4,-60
1520459754.109,EC:8F:47:27:6C:DE,-65
1520459754.112,EC:8F:47:27:6C:DE,-65
1520459754.135,1F:9C:A1:B9:1A:73,-57
1520459754.168,CB:3C:59:5F:87:FB,-62
1520459754.184,CB:3C:59:5F:87:FB,-62
1520459754.185,EC:8F:47:27:6C:DE,-65
1520459754.186,EC:8F:47:27:6C:DE,-65
1520459754.424,E9:0D:4A:6D:31:59,-64
1520459754.427,E9:0D:4A:6D:31:59,-64
1520459754.427,D9:86:6F:AF:E8:90,-68
1520459754.428,D9:86:6F:AF:E8:90,-68
1520459754.430,C1:96:24:5B:EB:97,-62
1520459754.443,C1:96:24:5B:EB:97,-62
1520459754.446,1F:9C:A1:B9:1A:73,-65
1520459754.459,DC:94:C8:A9:D0:B6,-65
1520459754.478,DC:94:C8:A9:D0:B6,-65
1520459754.479,E8:FA:0D:3C:01:82,-66
1520459754.481,E8:FA:0D:3C:01:82,-65
1520459754.484,FD:99:D9:69:5D:BC,-73
1520459754.490,FD:99:D9:69:5D:BC,-72
1520459754.492,C8:2F:80:DA:26:94,-65
1520459754.494,C8:2F:80:DA:26:94,-65
1520459754.496,C2:57:36:E6:71:6E,-71
1520459754.498,C2:57:36:E6:71:6E,-71
1520459754.500,E5:3B:3A:53:DF:6C,-68
1520459754.502,E5:3B:3A:53:DF:6C,-68
1520459754.718,F1:4E:55:EA:ED:A4,-63
1520459754.728,F1:4E:55:EA:ED:A4,-63
1520459754.729,C8:2F:80:DA:26:94,-63
1520459754.730,C8:2F:80:DA:26:94,-63
1520459754.751,68:64:4B:39:4B:0F,-96
1520459754.755,1F:9C:A1:B9:1A:73,-53
1520459754.778,CB:3C:59:5F:87:FB,-63
1520459754.793,CB:3C:59:5F:87:FB,-63
1520459755.011,EC:8F:47:27:6C:DE,-65
1520459755.053,EC:8F:47:27:6C:DE,-65
1520459755.056,C1:96:24:5B:EB:97,-58
1520459755.057,C1:96:24:5B:EB:97,-58
1520459755.075,1F:9C:A1:B9:1A:73,-57
1520459755.082,DC:94:C8:A9:D0:B6,-60
1520459755.084,DC:94:C8:A9:D0:B6,-60
1520459755.086,E8:FA:0D:3C:01:82,-59
1520459755.090,E8:FA:0D:3C:01:82,-59
1520459755.091,FD:99:D9:69:5D:BC,-62
1520459755.094,FD:99:D9:69:5D:BC,-62
1520459755.311,68:64:4B:39:4B:0F,-103
1520459755.311,E5:3B:3A:53:DF:6C,-68
1520459755.311,E5:3B:3A:53:DF:6C,-68
1520459755.312,C2:57:36:E6:71:6E,-71
1520459755.314,C2:57:36:E6:71:6E,-71
1520459755.330,F1:4E:55:EA:ED:A4,-67
1520459755.331,F1:4E:55:EA:ED:A4,-67
1520459755.334,C8:2F:80:DA:26:94,-65
1520459755.336,C8:2F:80:DA:26:94,-65
1520459755.387,1F:9C:A1:B9:1A:73,-66
1520459755.602,1F:9C:A1:B9:1A:73,-53
1520459755.603,F8:77:B8:B9:2D:74,-93
1520459755.621,EC:8F:47:27:6C:DE,-70
1520459755.629,EC:8F:47:27:6C:DE,-70
1520459755.632,E9:0D:4A:6D:31:59,-62
1520459755.633,E9:0D:4A:6D:31:59,-62
1520459755.634,D9:86:6F:AF:E8:90,-66
1520459755.660,D9:86:6F:AF:E8:90,-66
1520459755.662,C1:96:24:5B:EB:97,-59
1520459755.667,C1:96:24:5B:EB:97,-58
1520459755.669,68:64:4B:39:4B:0F,-95
1520459755.677,D9:86:6F:AF:E8:90,-66
1520459755.693,D9:86:6F:AF:E8:90,-66
1520459755.697,E8:FA:0D:3C:01:82,-63
1520459755.895,E8:FA:0D:3C:01:82,-59
1520459755.914,E8:FA:0D:3C:01:82,-60
1520459755.916,FD:99:D9:69:5D:BC,-62
1520459755.916,FD:99:D9:69:5D:BC,-62
1520459755.920,1F:9C:A1:B9:1A:73,-57
1520459755.926,E5:3B:3A:53:DF:6C,-58
1520459755.927,E5:3B:3A:53:DF:6C,-58
1520459755.929,C2:57:36:E6:71:6E,-65
1520459755.930,C2:57:36:E6:71:6E,-65
1520459755.945,C8:2F:80:DA:26:94,-63
1520459755.951,C8:2F:80:DA:26:94,-63
1520459755.955,F1:4E:55:EA:ED:A4,-60
1520459755.956,F1:4E:55:EA:ED:A4,-60
1520459755.977,DC:94:C8:A9:D0:B6,-60
1520459755.991,DC:94:C8:A9:D0:B6,-60
1520459756.229,68:64:4B:39:4B:0F,-101
1520459756.230,CB:3C:59:5F:87:FB,-67
1520459756.232,CB:3C:59:5F:87:FB,-67
1520459756.234,EC:8F:47:27:6C:DE,-70
1520459756.236,EC:8F:47:27:6C:DE,-70
1520459756.240,E9:0D:4A:6D:31:59,-62
1520459756.242,E9:0D:4A:6D:31:59,-62
1520459756.274,C1:96:24:5B:EB:97,-59
1520459756.297,C1:96:24:5B:EB:97,-58
1520459756.298,D9:86:6F:AF:E8:90,-66
1520459756.299,D9:86:6F:AF:E8:90,-66
1520459756.303,FD:99:D9:69:5D:BC,-69
1520459756.315,FD:99:D9:69:5D:BC,-70
1520459756.317,E8:FA:0D:3C:01:82,-63
1520459756.318,E8:FA:0D:3C:01:82,-63
1520459756.535,E5:3B:3A:53:DF:6C,-58
1520459756.553,E5:3B:3A:53:DF:6C,-58
1520459756.553,C2:57:36:E6:71:6E,-65
1520459756.554,C2:57:36:E6:71:6E,-65
1520459756.554,1F:9C:A1:B9:1A:73,-57
1520459756.566,F1:4E:55:EA:ED:A4,-60
1520459756.568,F1:4E:55:EA:ED:A4,-60
1520459756.568,C8:2F:80:DA:26:94,-63
1520459756.569,C8:2F:80:DA:26:94,-63
1520459756.584,DC:94:C8:A9:D0:B6,-60
1520459756.623,DC:94:C8:A9:D0:B6,-60
1520459756.835,CB:3C:59:5F:87:FB,-67
1520459756.853,CB:3C:59:5F:87:FB,-67
1520459756.855,EC:8F:47:27:6C:DE,-68
1520459756.884,C1:96:24:5B:EB:97,-62
1520459756.919,C1:96:24:5B:EB:97,-62
1520459756.926,FD:99:D9:69:5D:BC,-72
1520459756.926,FD:99:D9:69:5D:BC,-72
1520459756.930,E9:0D:4A:6D:31:59,-63
1520459757.140,68:64:4B:39:4B:0F,-98
1520459757.140,FD:99:D9:69:5D:BC,-69
1520459757.141,FD:99:D9:69:5D:BC,-69
1520459757.141,E9:0D:4A:6D:31:59,-63
1520459757.142,E9:0D:4A:6D:31:59,-63
1520459757.142,D9:86:6F:AF:E8:90,-66
1520459757.144,D9:86:6F:AF:E8:90,-66
1520459757.148,E8:FA:0D:3C:01:82,-63
1520459757.151,E8:FA:0D:3C:01:82,-63
1520459757.159,F8:77:B8:B9:2D:74,-94
1520459757.159,E5:3B:3A:53:DF:6C,-63
1520459757.161,E5:3B:3A:53:DF:6C,-63
1520459757.164,C2:57:36:E6:71:6E,-64
1520459757.166,C2:57:36:E6:71:6E,-64
1520459757.172,C8:2F:80:DA:26:94,-63
1520459757.176,C8:2F:80:DA:26:94,-63
1520459757.178,1F:9C:A1:B9:1A:73,-56
